BubbleSort-Cresc,BubbleSort-Decresc,BubbleSort-Aleatorio,
0,0,0,
2,3,3,
5,8,7,
9,15,13,
14,24,17,
20,35,31,
27,48,37,
35,63,50,
44,80,57,
54,99,82,
65,120,87,
77,143,117,
90,168,146,
104,195,152,
119,224,172,
135,255,189,
152,288,219,
170,323,238,
189,360,264,
209,399,286,
230,440,322,
252,483,338,
275,528,372,
299,575,435,
324,624,503,
350,675,459,
377,728,541,
405,783,540,
434,840,666,
464,899,640,
495,960,681,
527,1023,727,
560,1088,838,
594,1155,913,
629,1224,873,
665,1295,941,
702,1368,925,
740,1443,1037,
779,1520,1139,
819,1599,1156,
860,1680,1185,
902,1763,1185,
945,1848,1410,
989,1935,1511,
1034,2024,1412,
1080,2115,1559,
1127,2208,1592,
1175,2303,1622,
1224,2400,1745,
1274,2499,1717,
1325,2600,1883,
1377,2703,1941,
1430,2808,1983,
1484,2915,2165,
1539,3024,2190,
1595,3135,2123,
1652,3248,2378,
1710,3363,2417,
1769,3480,2470,
1829,3599,2520,
1890,3720,2511,
1952,3843,2645,
2015,3968,2812,
2079,4095,2723,
2144,4224,2964,
2210,4355,3075,
2277,4488,3442,
2345,4623,3150,
2414,4760,3491,
2484,4899,3444,
2555,5040,3512,
2627,5183,3522,
2700,5328,3718,
2774,5475,3795,
2849,5624,4109,
2925,5775,4021,
3002,5928,4395,
3080,6083,4116,
3159,6240,4329,
3239,6399,4551,
3320,6560,4526,
3402,6723,4873,
3485,6888,4934,
3569,7055,4918,
3654,7224,5020,
3740,7395,5155,
3827,7568,5164,
3915,7743,5292,
4004,7920,5420,
4094,8099,5741,
4185,8280,5706,
4277,8463,5956,
4370,8648,5896,
4464,8835,6114,
4559,9024,6260,
4655,9215,6469,
4752,9408,6316,
4850,9603,6578,
4949,9800,6629,
5049,9999,7175,
