BubbleSort2-Cresc,BubbleSort2-Decresc,BubbleSort2-Aleatorio,BubbleSort-Cresc,BubbleSort-Decresc,BubbleSort-Aleatorio,SelectionSort-Cresc,SelectionSort-Decresc,SelectionSort-Aleatorio,
0,0,0,0,0,0,0,0,0,
1,3,1,2,2,2,2,2,2,
2,9,6,5,5,5,5,5,5,
3,18,17,9,9,9,9,9,9,
4,30,21,14,14,14,14,14,14,
5,45,25,20,20,20,20,20,20,
6,63,32,27,27,27,27,27,27,
7,84,47,35,35,35,35,35,35,
8,108,74,44,44,44,44,44,44,
9,135,114,54,54,54,54,54,54,
10,165,94,65,65,65,65,65,65,
11,198,158,77,77,77,77,77,77,
12,234,113,90,90,90,90,90,90,
13,273,165,104,104,104,104,104,104,
14,315,207,119,119,119,119,119,119,
15,360,236,135,135,135,135,135,135,
16,408,197,152,152,152,152,152,152,
17,459,392,170,170,170,170,170,170,
18,513,342,189,189,189,189,189,189,
19,570,458,209,209,209,209,209,209,
20,630,401,230,230,230,230,230,230,
21,693,511,252,252,252,252,252,252,
22,759,561,275,275,275,275,275,275,
23,828,584,299,299,299,299,299,299,
24,900,660,324,324,324,324,324,324,
25,975,721,350,350,350,350,350,350,
26,1053,752,377,377,377,377,377,377,
27,1134,705,405,405,405,405,405,405,
28,1218,817,434,434,434,434,434,434,
29,1305,1003,464,464,464,464,464,464,
30,1395,1023,495,495,495,495,495,495,
31,1488,938,527,527,527,527,527,527,
32,1584,1153,560,560,560,560,560,560,
33,1683,1234,594,594,594,594,594,594,
34,1785,1284,629,629,629,629,629,629,
35,1890,1483,665,665,665,665,665,665,
36,1998,1300,702,702,702,702,702,702,
37,2109,1448,740,740,740,740,740,740,
38,2223,1442,779,779,779,779,779,779,
39,2340,1997,819,819,819,819,819,819,
40,2460,1811,860,860,860,860,860,860,
41,2583,1831,902,902,902,902,902,902,
42,2709,1674,945,945,945,945,945,945,
43,2838,2028,989,989,989,989,989,989,
44,2970,2409,1034,1034,1034,1034,1034,1034,
45,3105,2262,1080,1080,1080,1080,1080,1080,
46,3243,2514,1127,1127,1127,1127,1127,1127,
47,3384,2387,1175,1175,1175,1175,1175,1175,
48,3528,2586,1224,1224,1224,1224,1224,1224,
49,3675,2912,1274,1274,1274,1274,1274,1274,
50,3825,2785,1325,1325,1325,1325,1325,1325,
51,3978,2570,1377,1377,1377,1377,1377,1377,
52,4134,3182,1430,1430,1430,1430,1430,1430,
53,4293,3057,1484,1484,1484,1484,1484,1484,
54,4455,3217,1539,1539,1539,1539,1539,1539,
55,4620,3164,1595,1595,1595,1595,1595,1595,
56,4788,3613,1652,1652,1652,1652,1652,1652,
57,4959,3929,1710,1710,1710,1710,1710,1710,
58,5133,4194,1769,1769,1769,1769,1769,1769,
59,5310,4264,1829,1829,1829,1829,1829,1829,
60,5490,4158,1890,1890,1890,1890,1890,1890,
61,5673,4088,1952,1952,1952,1952,1952,1952,
62,5859,4006,2015,2015,2015,2015,2015,2015,
63,6048,4281,2079,2079,2079,2079,2079,2079,
64,6240,4079,2144,2144,2144,2144,2144,2144,
65,6435,4711,2210,2210,2210,2210,2210,2210,
66,6633,5189,2277,2277,2277,2277,2277,2277,
67,6834,5415,2345,2345,2345,2345,2345,2345,
68,7038,5174,2414,2414,2414,2414,2414,2414,
69,7245,5262,2484,2484,2484,2484,2484,2484,
70,7455,5899,2555,2555,2555,2555,2555,2555,
71,7668,5684,2627,2627,2627,2627,2627,2627,
72,7884,5929,2700,2700,2700,2700,2700,2700,
73,8103,6501,2774,2774,2774,2774,2774,2774,
74,8325,6405,2849,2849,2849,2849,2849,2849,
75,8550,6737,2925,2925,2925,2925,2925,2925,
76,8778,7098,3002,3002,3002,3002,3002,3002,
77,9009,6887,3080,3080,3080,3080,3080,3080,
78,9243,7238,3159,3159,3159,3159,3159,3159,
79,9480,6671,3239,3239,3239,3239,3239,3239,
80,9720,7718,3320,3320,3320,3320,3320,3320,
81,9963,7119,3402,3402,3402,3402,3402,3402,
82,10209,8283,3485,3485,3485,3485,3485,3485,
83,10458,8154,3569,3569,3569,3569,3569,3569,
84,10710,8635,3654,3654,3654,3654,3654,3654,
85,10965,8182,3740,3740,3740,3740,3740,3740,
86,11223,8584,3827,3827,3827,3827,3827,3827,
87,11484,8499,3915,3915,3915,3915,3915,3915,
88,11748,8920,4004,4004,4004,4004,4004,4004,
89,12015,8557,4094,4094,4094,4094,4094,4094,
90,12285,9409,4185,4185,4185,4185,4185,4185,
91,12558,10215,4277,4277,4277,4277,4277,4277,
92,12834,10154,4370,4370,4370,4370,4370,4370,
93,13113,10249,4464,4464,4464,4464,4464,4464,
94,13395,10129,4559,4559,4559,4559,4559,4559,
95,13680,10122,4655,4655,4655,4655,4655,4655,
96,13968,10287,4752,4752,4752,4752,4752,4752,
97,14259,11625,4850,4850,4850,4850,4850,4850,
98,14553,11555,4949,4949,4949,4949,4949,4949,
99,14850,12149,5049,5049,5049,5049,5049,5049,
